"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2018","0.49048","0.48382","0.49857","0.47750","2.35M","1.38%"
"Apr 09, 2018","0.48382","0.49800","0.51145","0.47510","4.61M","-2.85%"
"Apr 08, 2018","0.49800","0.48510","0.50090","0.48357","1.46M","2.66%"
"Apr 07, 2018","0.48510","0.47358","0.49604","0.46947","2.86M","2.43%"
"Apr 06, 2018","0.47358","0.49113","0.49425","0.45770","2.62M","-3.58%"
"Apr 05, 2018","0.49113","0.48801","0.49646","0.47417","2.22M","0.64%"
"Apr 04, 2018","0.48801","0.54700","0.55230","0.48505","6.77M","-10.78%"
"Apr 03, 2018","0.54700","0.49390","0.55270","0.49192","6.85M","10.75%"
"Apr 02, 2018","0.49390","0.47600","0.50389","0.47100","3.46M","3.76%"
"Apr 01, 2018","0.47600","0.49700","0.50756","0.45460","5.63M","-4.23%"
"Mar 31, 2018","0.49700","0.50218","0.52133","0.49270","4.63M","-1.03%"
"Mar 30, 2018","0.50218","0.50335","0.52512","0.47006","8.97M","-0.23%"
"Mar 29, 2018","0.50335","0.57098","0.57491","0.49545","7.60M","-11.84%"
"Mar 28, 2018","0.57098","0.56851","0.58800","0.56411","2.56M","0.43%"
"Mar 27, 2018","0.56851","0.58800","0.60250","0.55700","4.55M","-3.31%"
"Mar 26, 2018","0.58800","0.63292","0.63820","0.57438","6.91M","-7.10%"
"Mar 25, 2018","0.63292","0.62737","0.65400","0.61670","2.77M","0.90%"
"Mar 24, 2018","0.62730","0.64100","0.67871","0.62730","3.45M","-2.14%"
"Mar 23, 2018","0.64100","0.65000","0.65400","0.61231","3.77M","-1.38%"
"Mar 22, 2018","0.65000","0.68000","0.69093","0.62082","5.17M","-4.41%"
"Mar 21, 2018","0.68000","0.69790","0.70882","0.66059","7.11M","-2.56%"
"Mar 20, 2018","0.69790","0.72400","0.72400","0.65800","8.12M","-3.60%"
"Mar 19, 2018","0.72400","0.64833","0.72470","0.62561","8.97M","11.67%"
"Mar 18, 2018","0.64833","0.62861","0.68500","0.53771","10.37M","3.14%"
"Mar 17, 2018","0.62861","0.68000","0.68300","0.61400","5.47M","-7.56%"
"Mar 16, 2018","0.68000","0.68226","0.71129","0.65800","4.43M","-0.33%"
"Mar 15, 2018","0.68226","0.68928","0.72333","0.62800","6.62M","-1.02%"
"Mar 14, 2018","0.68928","0.77560","0.78993","0.65230","6.32M","-11.13%"
"Mar 13, 2018","0.77560","0.78010","0.79960","0.76066","3.69M","-0.58%"
"Mar 12, 2018","0.78010","0.81265","0.82800","0.76500","3.79M","-4.01%"
"Mar 11, 2018","0.81265","0.77400","0.83000","0.75000","5.85M","4.99%"
"Mar 10, 2018","0.77400","0.82100","0.84000","0.76800","3.81M","-5.72%"
"Mar 09, 2018","0.82100","0.80469","0.84100","0.72929","9.63M","2.03%"
"Mar 08, 2018","0.80469","0.85087","0.87000","0.79566","5.58M","-5.43%"
"Mar 07, 2018","0.85087","0.90001","0.91233","0.78630","12.91M","-5.46%"
"Mar 06, 2018","0.90001","0.94108","0.98133","0.89100","11.94M","-4.84%"
"Mar 05, 2018","0.94582","1.00708","1.09000","0.94200","17.25M","-6.08%"
"Mar 04, 2018","1.00708","0.89912","1.03000","0.89000","6.16M","12.01%"
"Mar 03, 2018","0.89912","0.89916","0.92120","0.88700","2.35M","-0.00%"
"Mar 02, 2018","0.89916","0.91415","0.92109","0.88569","2.38M","-1.64%"
"Mar 01, 2018","0.91415","0.88554","0.94850","0.87400","3.88M","3.23%"
"Feb 28, 2018","0.88554","0.92700","0.94670","0.88005","3.51M","-4.47%"
"Feb 27, 2018","0.92700","0.92898","0.95575","0.91750","3.28M","-0.21%"
"Feb 26, 2018","0.92898","0.90100","0.94200","0.87376","4.52M","3.11%"
"Feb 25, 2018","0.90100","0.90000","0.92298","0.87300","4.33M","0.11%"
"Feb 24, 2018","0.90000","0.93731","0.96825","0.86818","6.52M","-3.98%"
"Feb 23, 2018","0.93731","0.89000","0.98235","0.85001","7.80M","5.32%"
"Feb 22, 2018","0.89000","0.94775","0.99924","0.86100","10.92M","-6.09%"
"Feb 21, 2018","0.94775","1.02233","1.04200","0.93618","11.22M","-7.30%"
"Feb 20, 2018","1.02233","1.10673","1.13280","1.00756","9.13M","-7.63%"
"Feb 19, 2018","1.10673","1.06520","1.13280","1.06520","4.44M","3.90%"
"Feb 18, 2018","1.06520","1.17490","1.17850","1.03820","9.88M","-9.34%"
"Feb 17, 2018","1.17490","1.11225","1.20000","1.10182","8.72M","5.63%"
"Feb 16, 2018","1.11225","1.10488","1.11787","1.06300","5.90M","0.67%"
"Feb 15, 2018","1.10488","1.12706","1.14252","1.06550","13.29M","-1.97%"
"Feb 14, 2018","1.12706","0.98573","1.15400","0.97816","15.84M","14.34%"
"Feb 13, 2018","0.98573","1.04240","1.04815","0.96333","8.27M","-5.44%"
"Feb 12, 2018","1.04240","0.95840","1.07640","0.95840","14.31M","8.76%"
"Feb 11, 2018","0.95840","1.02769","1.03902","0.89200","22.62M","-6.74%"
"Feb 10, 2018","1.02769","0.92183","1.23000","0.90500","41.47M","11.48%"
"Feb 09, 2018","0.92183","0.78080","0.92968","0.74000","16.58M","18.06%"
"Feb 08, 2018","0.78080","0.71500","0.78975","0.70800","10.90M","8.90%"
"Feb 07, 2018","0.71700","0.76764","0.82200","0.69710","15.43M","-5.91%"
"Feb 06, 2018","0.76200","0.68410","0.78049","0.57227","39.17M","11.39%"
"Feb 05, 2018","0.68410","0.81624","0.83452","0.64000","27.62M","-16.19%"
"Feb 04, 2018","0.81624","0.95916","0.96710","0.77931","13.53M","-14.90%"
"Feb 03, 2018","0.95916","0.90388","1.02000","0.77834","19.38M","6.12%"
"Feb 02, 2018","0.90388","0.96600","0.96880","0.67179","41.10M","-6.43%"
"Feb 01, 2018","0.96600","1.13840","1.15067","0.90500","15.02M","-15.14%"
"Jan 31, 2018","1.13840","1.11210","1.14941","1.02578","9.32M","2.36%"
"Jan 30, 2018","1.11210","1.27127","1.27127","1.08807","14.64M","-12.52%"
"Jan 29, 2018","1.27127","1.37000","1.37905","1.25090","8.38M","-7.21%"
"Jan 28, 2018","1.37000","1.21879","1.40000","1.21416","12.81M","12.41%"
"Jan 27, 2018","1.21879","1.20599","1.24473","1.17286","7.89M","1.06%"
"Jan 26, 2018","1.20599","1.30100","1.32082","1.10010","16.51M","-7.30%"
"Jan 25, 2018","1.30100","1.35100","1.37500","1.27200","7.75M","-3.70%"
"Jan 24, 2018","1.35100","1.33350","1.42022","1.28220","12.81M","1.31%"
"Jan 23, 2018","1.33350","1.34000","1.43420","1.17493","23.42M","-0.49%"
"Jan 22, 2018","1.34000","1.35400","1.41102","1.13031","22.90M","-1.03%"
"Jan 21, 2018","1.35400","1.56000","1.56791","1.30000","16.89M","-13.21%"
"Jan 20, 2018","1.56000","1.52200","1.62347","1.46100","11.92M","2.50%"
"Jan 19, 2018","1.52200","1.54600","1.67000","1.44406","19.73M","-1.55%"
"Jan 18, 2018","1.54600","1.32000","1.72042","1.20000","49.19M","17.12%"
"Jan 17, 2018","1.32000","1.14263","1.38600","0.87000","73.01M","15.52%"
"Jan 16, 2018","1.14263","1.65500","1.67763","0.85000","69.78M","-30.96%"
"Jan 15, 2018","1.65500","1.82000","1.87150","1.62000","5.86M","-9.07%"
"Jan 14, 2018","1.82000","1.99000","1.99000","1.74000","8.60M","-8.54%"
"Jan 13, 2018","1.99000","2.01300","2.09500","1.94701","7.95M","-1.14%"
"Jan 12, 2018","2.01300","1.92446","2.15000","1.79000","15.70M","4.30%"
"Jan 11, 2018","1.93000","1.94415","2.26700","1.54000","45.04M","0.52%"
"Jan 10, 2018","1.92000","2.05000","2.11800","1.61320","30.46M","-5.91%"
"Jan 09, 2018","2.04055","2.40000","2.48100","1.90000","18.91M","-14.98%"
"Jan 08, 2018","2.40000","2.77067","2.77067","1.91111","20.76M","-13.36%"
"Jan 07, 2018","2.77000","2.65000","2.81000","2.56000","9.10M","4.53%"
"Jan 06, 2018","2.65000","2.50000","2.85000","2.45000","11.26M","6.00%"
"Jan 05, 2018","2.50000","2.73000","3.05000","2.20000","34.75M","-8.42%"
"Jan 04, 2018","2.73000","2.72000","3.28000","2.45000","44.43M","0.37%"
"Jan 03, 2018","2.72000","2.19000","2.86000","2.15000","32.14M","24.20%"
"Jan 02, 2018","2.19000","2.03000","2.20000","1.90000","24.00M","7.88%"
"Jan 01, 2018","2.03000","1.97000","2.10000","1.80000","13.77M","3.05%"
"Dec 31, 2017","1.97000","1.83000","2.09000","1.50000","34.43M","7.65%"
"Dec 30, 2017","1.83000","1.92000","2.40000","1.74000","78.98M","-4.69%"
"Dec 29, 2017","1.92000","1.24000","1.97000","1.24000","65.04M","54.84%"
"Dec 28, 2017","1.24000","1.21000","1.29000","1.07000","33.08M","2.48%"
"Dec 27, 2017","1.21000","1.07000","1.29000","1.06000","44.83M","13.08%"
"Dec 26, 2017","1.07000","0.97200","1.10000","0.96210","16.36M","10.08%"
"Dec 25, 2017","0.97200","0.97180","1.02000","0.91250","12.03M","0.02%"
"Dec 24, 2017","0.97180","0.98560","0.99380","0.80240","31.76M","-1.40%"
